product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6009101070824,Herb Salad,180 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009101708574,Berry Muesli,1000 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009101961788,Spirit Vinegar,750 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009171831134,white wine vinegar,250 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009171929749,seafood rub,75 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,3
6009173456816,air sprizt,250 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009173967152,apple juice,1.5 L,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009175095907,crema of italy,250 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009175199971,Ground Coffee Hazelnut Flavoured,250 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,2
6009175199995,Ground Coffeee Vanilla Flavoured,250g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009175213356,low fat plain yoghurt,500 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009175423854,Lemonade,1.0 L,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,2
6009178222591,Local Seasonal Honey,375 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009178253977,Guava Yoghurt,150 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,6
6009178930830,Cream Soda,2.0 L,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009178931394,passionade,2.0 L,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009184110455,Sea Salt Hand Cooked Crisps,125 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009184138763,meat masala,50 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009184329970,White Tortilla Wraps,50 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009184634388,xylitol,300 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009188002213,Cocoa plain,40 g,KitKat,CH,Nestlé S.A.,MZ,https://wastebase.org/#/o/59163cd7-c4b7-4834-b8f5-a5113e2084db,,2
6009189642401,Full cream Vanilla Flavoured Yoghurt,150 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,9
6009189862502,natural spring water,350 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009189862823,Sparkling Spring Drink Ginger & Lime,1.5 L,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009189914997,Decaf Coffee Beans,250 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009189919466,Triple Layered Chocolate Gateau,850 g,Woolworths,ZA,Woolworths Holdings Ltd,MZ,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009195707972,olive oil,2.0 L,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009207356471,sparkling drink,1.5 l,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009207761978,steakhouse,145 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,2
6009207762050,chicken rub,75 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,2
6009211118904,Roasted Almonds,500 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009211171312,juice,250 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,3
6009211635166,lemon verbena,35 ml,Woolworths,ZA,Woolworths Holdings Ltd,UG,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,16
6009211635166,lemon verbena,35 ml,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
